tour,destino
East Asia Tour,Shangai
East Asia Tour,Pekin
Mundo Arabe,Abu Dabi
Mundo Arabe,Dubái
Mundo Arabe,Riad
Mundo Arabe,Doha
Explorando la península	Iberica,Sevilla
Explorando la península	Iberica,Oporto
Explorando la península	Iberica,Barcelona
Explorando la península	Iberica,Lisboa
Explorando la península	Iberica,Ibiza
North & Central Europe Tour,Zurich
North & Central Europe Tour,Munich
North & Central Europe Tour,Amsterdam
North & Central Europe Tour,Estocolmo
North & Central Europe Tour,Oslo
